"","Variable.name","Description","Variable type","Variable range or levels","Units","How.measured"
"1","X","place holder created by R. Unreliable.","numeric","1 - 4785",NA,"recorded"
"2","plot","Plot number","numeric","1 - 484",NA,"defined"
"3","tree","Tree number. Unique within a plot.","numeric","1 - 140",NA,"defined"
"4","stem","Stem number. Unique within a tree.","numeric","1 - 22",NA,"defined"
"5","live","If a stem is alive (1) or not (0)","categorical","0 - dead","binary","recorded"
"6","bark","If a stem has bark (1) or not (0)","categorical","0 - no bark","binary","recorded"
"7","bkDpth1","Depth of bark","numeric","0 - 0","millimetres","recorded"
"8","bkDpth2","Second measurement of bark depth","numeric","0 - 0","millimetres","recorded"
"9","dbh","Diameter at breast height of a given stem","numeric","1.3 - 134.5","centimetres","recorded"
"10","spp","Subspecies of Eucalyptus pauciflora","categorical","0 - Np",NA,"recorded"
"11","burnt","If there are any signs of burning on this stem (1) or not (0)","categorical","0 - yes","binary","recorded"
"12","regrowth","If there are signs of regrowth on the stem (1) or not (0)","numeric","0 - 1","binary","recorded"
"13","pres","If a stem has hollows (1) or not (0)","numeric","0 - 1","binary","recorded"
"14","number","Number of hollows on the stem","numeric","0 - 4",NA,"recorded"
"15","heightM","Height of the tree","numeric","3.8 - 18.2","metres","recorded"
"16","flag","Data quality flag","categorical","okay - okay",NA,"defined"
"17","canopy","Canopy quality where n = none (no leaves); p = poor (>75% of branchlets with dead/missing leaves); f = fair (50-75% likewise); g = good (25-50% likewise); e = excellent (<25% likewise)","categorical","e - poor",NA,"recorded"
"18","galleries","If galleries are present on the stem (1) or not (0)","numeric","0 - 1",NA,"recorded"
"19","frass","If frass is present on the stem (1) or not (0)","numeric","0 - 1","binary","recorded"
"20","puckering","If puckering is present on the stem (1) or not (0)","numeric","0 - 1",NA,"recorded"
"21","canopy.number","`canopy` converted to a number where 1 = none and 5 = excellent","numeric","1 - 5",NA,"defined"
"22","beetlesum","If beetle evidence (galleries, frass, puckering) is present on a stem (1) or not (0)","numeric","0 - 1",NA,"defined"
"23","stemID","Unique ID of the stem made of the plot number, the tree number, and the stem number separated by periods","categorical","1.1.1 - 9.9.2",NA,"defined"
"24","basal.area","Basal area of the stem calculated from DBH","numeric","0 - 1.421","metres ^2","recorded"
"25","plotNickname","Nickname of the plot, if applicable","categorical","2K - Swing Bridge",NA,"defined"
"26","burnHistory","If there is evidence of burn on the stem (only works for 2024 trees)","categorical","burned - unburned",NA,"recorded"
"27","health","canopy health of the stem (only works for 2024 trees)","categorical","burned - severe",NA,"recorded"
"28","GPS","GPS point number of the tree (only if a dendrometer was installed)","numeric","275 - 480",NA,"defined"
"29","dendroNr","Dendrometer number, if applicable","numeric","1 - 306",NA,"defined"
"30","dendroType","Dendrometer type, if applicable","categorical","automatic - vernier",NA,"defined"
